BCH_NO	INVSPL_CD	INDVROLETP_CD	TRANS_CD	CORPINDV_CD	DEDTRANS_NO	DT	ISSUE_PRCAL_PAY_NO	FR_PRCAL_PAY_NO	TO_PRCAL_PAY_NO	AMT	CHQTP_CD	PAY_REVS_IND	ORIG_TRANS_CD	GL_CD	MISACCT_CD	ORG_CD	THPTY_CD	BONDANNCAMP_EFFYR	INDV_ID
11		E	C473  	I	264	1/1/2023 0:00				90.00	1	0	C473  						530538
11		E	C473  	I	265	1/1/2023 0:00				90.00	1	0	C473  						528366
11		E	C473  	I	266	1/1/2023 0:00				90.00	1	0	C473  						531589
11		E	C473  	I	267	1/1/2023 0:00				90.00	1	0	C473  						525227
11		E	C473  	I	268	1/1/2023 0:00				90.00	1	0	C473  						531569
11		E	C473  	I	269	1/1/2023 0:00				90.00	1	0	C473  						528013
11		E	C473  	I	270	1/1/2023 0:00				90.00	1	0	C473  						504059
11		E	C473  	I	271	1/1/2023 0:00				90.00	1	0	C473  						531316
11		E	C473  	I	272	1/1/2023 0:00				90.00	1	0	C473  						530359
11		E	C473  	I	273	1/1/2023 0:00				90.00	1	0	C473  						518617
11		E	C473  	I	274	1/1/2023 0:00				90.00	1	0	C473  						522651
11		E	C473  	I	275	1/1/2023 0:00				90.00	1	0	C473  						510174
11		E	C473  	I	276	1/1/2023 0:00				90.00	1	0	C473  						495199
11		E	C473  	I	277	1/1/2023 0:00				90.00	1	0	C473  						522034
11		E	C473  	I	278	1/1/2023 0:00				90.00	1	0	C473  						493013
11		E	C473  	I	279	1/1/2023 0:00				90.00	1	0	C473  						491070
11		E	C473  	I	280	1/1/2023 0:00				90.00	1	0	C473  						496109
11		E	C473  	I	281	1/1/2023 0:00				90.00	1	0	C473  						526737
11		E	C473  	I	282	1/1/2023 0:00				90.00	1	0	C473  						531417
11		E	C473  	I	283	1/1/2023 0:00				90.00	1	0	C473  						476896
11		E	C473  	I	284	1/1/2023 0:00				90.00	1	0	C473  						487181
11		E	C473  	I	285	1/1/2023 0:00				90.00	1	0	C473  						515977
11		E	C473  	I	286	1/1/2023 0:00				90.00	1	0	C473  						231714
11		E	C473  	I	287	1/1/2023 0:00				90.00	1	0	C473  						375240
11		E	C473  	I	288	1/1/2023 0:00				90.00	1	0	C473  						524830
11		E	C473  	I	289	1/1/2023 0:00				90.00	1	0	C473  						486278
11		E	C473  	I	290	1/1/2023 0:00				90.00	1	0	C473  						496730
11		E	C473  	I	291	1/1/2023 0:00				90.00	1	0	C473  						487410
11		E	C473  	I	292	1/1/2023 0:00				90.00	1	0	C473  						487230
11		E	C473  	I	293	1/1/2023 0:00				90.00	1	0	C473  						502927
11		E	C473  	I	294	1/1/2023 0:00				90.00	1	0	C473  						531189
11		E	C473  	I	295	1/1/2023 0:00				90.00	1	0	C473  						529630
11		E	C473  	I	296	1/1/2023 0:00				90.00	1	0	C473  						523946
11		E	C473  	I	297	1/1/2023 0:00				90.00	1	0	C473  						230356
11		E	C473  	I	298	1/1/2023 0:00				90.00	1	0	C473  						522533
11		E	C473  	I	299	1/1/2023 0:00				90.00	1	0	C473  						509951
11		E	C473  	I	300	1/1/2023 0:00				90.00	1	0	C473  						521530
11		E	C473  	I	301	1/1/2023 0:00				90.00	1	0	C473  						517396
11		E	C473  	I	302	1/1/2023 0:00				90.00	1	0	C473  						475260
11		E	C473  	I	303	1/1/2023 0:00				90.00	1	0	C473  						485500
11		E	C473  	I	304	1/1/2023 0:00				90.00	1	0	C473  						521788
11		E	C473  	I	305	1/1/2023 0:00				90.00	1	0	C473  						518214
11		E	C473  	I	306	1/1/2023 0:00				90.00	1	0	C473  						522203
11		E	C473  	I	307	1/1/2023 0:00				90.00	1	0	C473  						528918
11		E	C473  	I	308	1/1/2023 0:00				90.00	1	0	C473  						503226
11		E	C473  	I	309	1/1/2023 0:00				90.00	1	0	C473  						484406
11		E	C473  	I	310	1/1/2023 0:00				90.00	1	0	C473  						505588
11		E	C473  	I	311	1/1/2023 0:00				90.00	1	0	C473  						35055
11		E	C473  	I	312	1/1/2023 0:00				90.00	1	0	C473  						524849
11		E	C473  	I	313	1/1/2023 0:00				90.00	1	0	C473  						507708
11		E	C473  	I	314	1/1/2023 0:00				90.00	1	0	C473  						498818
11		E	C473  	I	315	1/1/2023 0:00				90.00	1	0	C473  						487637
11		E	C473  	I	316	1/1/2023 0:00				90.00	1	0	C473  						529021
11		E	C473  	I	317	1/1/2023 0:00				90.00	1	0	C473  						531158
11		E	C473  	I	318	1/1/2023 0:00				90.00	1	0	C473  						487268
11		E	C473  	I	319	1/1/2023 0:00				90.00	1	0	C473  						492791
11		E	C473  	I	320	1/1/2023 0:00				90.00	1	0	C473  						529162
11		E	C473  	I	321	1/1/2023 0:00				90.00	1	0	C473  						531991
11		E	C459	I	322	1/1/2023 0:00				200.00	1	0	C459						514900
11		E	C459	I	323	1/1/2023 0:00				200.00	1	0	C459						495585
11		E	C459	I	324	1/1/2023 0:00				200.00	1	0	C459						513979
11		E	C459	I	325	1/1/2023 0:00				200.00	1	0	C459						536616
11		E	C459	I	326	1/1/2023 0:00				200.00	1	0	C459						522582
11		E	C459	I	327	1/1/2023 0:00				200.00	1	0	C459						536183
11		E	C459	I	328	1/1/2023 0:00				200.00	1	0	C459						514829
11		E	C459	I	329	1/1/2023 0:00				200.00	1	0	C459						276260
11		E	C459	I	330	1/1/2023 0:00				200.00	1	0	C459						534108
11		E	C459	I	331	1/1/2023 0:00				200.00	1	0	C459						230405
11		E	C459	I	332	1/1/2023 0:00				200.00	1	0	C459						534109
11		E	C459	I	333	1/1/2023 0:00				200.00	1	0	C459						513556
11		E	C459	I	334	1/1/2023 0:00				200.00	1	0	C459						535606
11		E	C459	I	335	1/1/2023 0:00				200.00	1	0	C459						496408
